index,value
1966,794
1967,800
1968,-776
1969,-770
1970,-758
1971,-752
1972,-740
1973,-732
1974,-718
1975,-712
1976,-698
1977,-692
1978,-678
1979,-670
1980,-658
1981,-650
1982,-634
1983,-628
1984,924
1985,926
1986,934
1987,936
1988,944
1989,946
1990,952
1991,956
1992,960
1993,962
1994,970
1995,972
1996,976
1997,976
1998,982
1999,982
2000,984
2001,986
2002,990
2003,990
2004,994
2005,996
2006,996
2007,996
2008,998
2009,998
2010,998
2011,998
2012,998
2013,998
2014,998
2015,998
2016,996
2017,996
2018,994
2019,994
2020,992
2021,990
2022,986
2023,984
2024,984
2025,982
2026,978
2027,974
2028,972
2029,968
2030,962
2031,960
2032,32
2033,42
2034,60
2035,70
2036,90
2037,98
2038,118
2039,128
2040,146
2041,156
2042,174
2043,184
2044,204
2045,214
2046,230
2047,240
2048,260
2049,268
2050,288
2051,294
2052,314
2053,324
2054,340
2055,350
2056,368
2057,376
2058,394
2059,404
2060,422
2061,430
2062,446
2063,454
2064,472
2065,480
2066,498
2067,506
2068,522
2069,530
2070,546
2071,554
2072,570
2073,578
2074,594
2075,602
2076,618
2077,624
2078,638
2079,646
2080,660
2081,668
2082,682
2083,690
2084,704
2085,710
2086,722
2087,728
2088,742
2089,750
2090,762
2091,766
2092,778
2093,786
2094,796
2095,802
2096,814
2097,820
2098,830
2099,836
2100,846
2101,850
2102,862
2103,864
2104,874
2105,880
2106,888
2107,894
2108,902
2109,906
2110,912
2111,918
2112,924
2113,928
2114,936
2115,938
2116,946
2117,948
2118,954
2119,958
2120,962
2121,964
2122,970
2123,972
2124,974
2125,978
2126,982
2127,984
2128,986
2129,986
2130,990
2131,992
2132,994
2133,994
2134,996
2135,996
2136,998
2137,998
2138,998
2139,998
2140,998
2141,998
2142,998
2143,998
2144,996
2145,996
2146,994
2147,992
2148,990
2149,990
2150,986
2151,984
2152,982
2153,980
2154,976
2155,972
2156,970
2157,966
2158,962
2159,960
2160,954
2161,950
2162,944
2163,942
2164,936
2165,932
2166,924
2167,922
2168,912
2169,910
2170,900
2171,898
2172,888
2173,884
2174,874
2175,870
2176,860
2177,856
2178,846
2179,840
2180,830
2181,824
2182,814
2183,808
2184,796
2185,790
2186,778
2187,772
2188,760
2189,754
2190,740
2191,734
2192,-856
2193,-862
2194,-872
2195,-876
2196,-886
2197,-888
2198,-900
2199,-902
2200,-912
2201,-914
2202,-922
2203,-926
2204,-934
2205,-938
2206,-944
2207,-946
2208,-952
2209,-956
2210,-960
2211,-962
2212,-968
2213,-970
2214,-974
2215,-978
2216,-982
2217,-984
2218,-986
2219,-988
2220,-992
2221,-992
2222,-996
2223,-996
2224,-998
2225,-998
2226,-1000
2227,-1000
2228,-1000
2229,-1000
2230,-1000
2231,-1000
2232,-1000
2233,-1000
2234,-998
2235,-998
2236,-998
2237,-998
2238,-994
2239,-994
2240,-988
2241,-988
2242,-986
2243,-984
2244,-980
2245,-976
2246,-974
2247,-974
2248,-968
2249,-964
2250,-960
2251,-956
2252,-950
2253,-948
2254,-942
2255,-938
2256,-114
2257,-122
2258,-142
2259,-152
2260,-170
2261,-180
2262,-198
2263,-208
2264,-228
2265,-236
2266,-256
2267,-264
2268,-282
2269,-292
2270,-310
2271,-318
2272,-822
2273,-818
2274,-804
2275,-800
2276,-788
2277,-782
2278,-770
2279,-764
2280,-752
2281,-746
2282,-732
2283,-726
2284,-712
2285,-706
2286,-692
2287,-684
2288,-670
2289,-662
2290,-650
2291,-644
2292,-628
2293,-620
2294,-604
2295,-596
2296,-582
2297,-572
2298,-558
2299,-548
2300,-534
2301,-524
2302,-510
2303,-500
2304,-484
2305,-476
2306,-460
2307,-450
2308,-432
2309,-426
2310,-406
2311,-398
2312,-380
2313,-372
2314,-354
2315,-344
2316,-328
2317,-318
2318,-298
2319,-290
2320,-272
2321,-262
2322,-244
2323,-234
2324,-216
2325,-208
2326,-188
2327,-178
2328,-160
2329,-148
2330,-130
2331,-122
2332,-102
2333,-92
2334,-74
2335,-64
2336,-44
2337,-34
2338,-14
2339,-6
2340,12
2341,24
2342,42
2343,52
2344,70
2345,80
2346,98
2347,108
2348,128
2349,138
2350,156
2351,166
2352,184
2353,194
2354,212
2355,222
2356,242
2357,250
2358,266
2359,278
2360,296
2361,304
2362,324
2363,332
2364,350
2365,360
2366,376
2367,388
2368,404
2369,412
2370,430
2371,438
2372,456
2373,464
2374,480
2375,490
2376,506
2377,514
2378,530
2379,538
2380,554
2381,562
2382,578
2383,586
2384,600
2385,608
2386,624
2387,632
2388,646
2389,654
2390,668
2391,676
2392,690
2393,696
2394,710
2395,716
2396,728
2397,736
2398,750
2399,756
2400,766
2401,774
2402,786
2403,792
2404,802
2405,808
2406,820
2407,826
2408,836
2409,840
2410,850
2411,856
2412,866
2413,872
2414,880
2415,886
2416,896
2417,898
2418,906
2419,910
2420,918
2421,922
2422,928
2423,932
2424,938
2425,942
2426,948
2427,950
2428,958
2429,960
2430,964
2431,968
2432,972
2433,974
2434,978
2435,980
2436,984
2437,984
2438,986
2439,990
2440,994
2441,994
2442,994
2443,996
2444,996
2445,998
2446,998
2447,998
2448,1000
2449,998
2450,998
2451,998
2452,998
2453,996
2454,996
2455,996
2456,992
2457,992
2458,990
2459,988
2460,984
2461,984
2462,980
2463,978
2464,972
2465,972
2466,966
2467,964
2468,960
2469,956
2470,950
2471,948
2472,942
2473,936
2474,932
2475,928
2476,922
2477,916
2478,910
2479,904
2480,190
2481,200
2482,218
2483,228
2484,246
2485,254
2486,276
2487,284
2488,302
2489,312
2490,328
2491,338
2492,356
2493,364
2494,384
2495,392
2496,410
2497,418
2498,436
2499,444
2500,460
2501,470
2502,486
2503,494
2504,510
2505,520
2506,536
2507,544
2508,558
2509,568
2510,582
2511,592
2512,608
2513,614
2514,630
2515,636
2516,652
2517,658
