idx,value
1247,-766
1248,-913
1249,-728
1250,-290
1251,261
1252,694
1253,844
1254,679
1255,220
1256,-314
1257,-754
1258,-901
1259,-732
1260,-296
1261,240
1262,672
1263,823
1264,667
1265,239
1266,-296
1267,-721
1268,-876
1269,-725
1270,-301
1271,225
1272,639
1273,807
1274,655
1275,241
1276,-279
1277,-697
1278,-853
1279,-709
1280,-301
1281,209
1282,616
1283,770
1284,630
1285,234
1286,-250
1287,-655
1288,-818
1289,-667
1290,-283
1291,189
1292,568
1293,729
1294,586
1295,213
1296,-244
1297,-623
1298,-766
1299,-627
1300,-261
1301,172
1302,537
1303,673
1304,535
1305,185
1306,-240
1307,-569
1308,-706
1309,-565
1310,-235
1311,166
1312,484
1313,599
1314,473
1315,153
1316,-228
1317,-527
1318,-621
1319,-516
1320,-211
1321,157
1322,440
1323,530
1324,421
1325,137
1326,-216
1327,-472
1328,-572
1329,-449
1330,-183
1331,141
1332,379
1333,470
1334,364
1335,111
1336,-180
1337,-419
1338,-501
1339,-397
1340,-156
1341,110
1342,323
1343,403
1344,308
1345,90
1346,-163
1347,-360
1348,-429
1349,-341
1350,-141
1351,83
1352,266
1353,324
1354,246
1355,76
1356,-131
1357,-300
1358,-352
1359,-279
1360,-126
1361,62
1362,198
1363,248
1364,187
1365,56
1366,-106
1367,-224
1368,-279
1369,-222
1370,-108
1371,27
1372,134
1373,181
1374,129
1375,38
1376,-77
1377,-175
1378,-203
1379,-175
1380,-94
1381,9
1382,81
1383,104
1384,84
1385,22
1386,-51
1387,-111
1388,-130
1389,-119
1390,-79
1391,-23
1392,23
1393,35
1394,29
1395,10
1396,-25
1397,-55
1398,-60
1399,-64
1400,-55
1401,-47
1402,-36
1403,-30
1404,-22
1405,3
1406,0
1407,1
1408,2
1409,-19
1410,-43
1411,-68
1412,-98
1413,-91
1414,-64
1415,-25
1416,18
1417,48
1418,48
1419,24
1420,-29
1421,-95
1422,-134
1423,-137
1424,-108
1425,-36
1426,42
1427,93
1428,103
1429,66
1430,-13
1431,-107
1432,-173
1433,-194
1434,-141
1435,-50
1436,62
1437,126
1438,134
1439,93
1440,-6
1441,-126
1442,-212
1443,-224
1444,-184
1445,-65
1446,69
1447,167
1448,185
1449,131
1450,10
1451,-131
1452,-241
1453,-273
1454,-203
1455,-87
1456,76
1457,187
1458,213
1459,161
1460,17
1461,-135
1462,-258
1463,-293
1464,-234
1465,-88
1466,76
1467,200
1468,242
1469,180
1470,36
1471,-129
1472,-268
1473,-306
1474,-244
1475,-106
1476,77
1477,208
1478,256
1479,185
1480,37
1481,-137
1482,-275
1483,-313
1484,-256
1485,-107
1486,78
1487,213
1488,262
1489,185
1490,36
1491,-130
1492,-271
1493,-308
1494,-254
1495,-107
1496,78
1497,207
1498,253
1499,181
1500,37
1501,-131
1502,-266
1503,-301
1504,-241
1505,-88
1506,75
1507,191
1508,227
1509,166
1510,28
1511,-128
1512,-247
1513,-279
1514,-220
1515,-82
1516,67
1517,173
1518,201
1519,140
1520,11
1521,-123
1522,-228
1523,-255
1524,-192
1525,-72
1526,58
1527,150
1528,175
1529,109
1530,8
1531,-117
1532,-197
1533,-212
1534,-164
1535,-57
1536,45
1537,121
1538,124
1539,87
1540,-6
1541,-100
1542,-164
1543,-171
1544,-123
1545,-58
1546,28
1547,77
1548,84
1549,42
1550,-14
1551,-82
1552,-120
1553,-124
1554,-88
1555,-35
1556,9
1557,33
1558,28
1559,6
1560,-32
1561,-56
1562,-64
1563,-58
1564,-41
1565,-27
1566,-29
1567,-28
1568,-33
1569,-47
1570,-46
1571,-42
1572,-12
1573,5
1574,10
1575,-4
1576,-38
1577,-69
1578,-101
1579,-95
1580,-59
1581,-11
1582,36
1583,59
1584,51
1585,8
1586,-64
1587,-125
1588,-169
1589,-141
1590,-83
1591,16
1592,101
1593,128
1594,109
1595,20
1596,-84
1597,-185
1598,-227
1599,-199
1600,-98
1601,39
1602,153
1603,200
1604,166
1605,37
1606,-117
1607,-243
1608,-297
1609,-254
1610,-113
1611,71
1612,225
1613,279
1614,214
1615,54
1616,-144
1617,-315
1618,-379
1619,-308
1620,-130
1621,98
1622,280
1623,352
1624,275
1625,68
1626,-178
1627,-376
1628,-452
1629,-360
1630,-144
1631,125
1632,342
1633,426
1634,331
1635,96
1636,-196
1637,-435
1638,-524
1639,-423
1640,-169
1641,148
1642,397
1643,496
1644,389
1645,126
1646,-217
1647,-493
1648,-606
1649,-492
1650,-199
1651,156
1652,451
1653,572
1654,457
1655,152
1656,-230
1657,-535
1658,-668
1659,-550
1660,-235
1661,162
1662,501
1663,633
1664,511
1665,176
1666,-242
1667,-580
1668,-733
1669,-598
1670,-262
1671,183
1672,537
1673,677
1674,562
1675,206
1676,-247
1677,-623
1678,-771
1679,-641
1680,-277
1681,188
1682,575
1683,738
1684,606
1685,224
1686,-266
1687,-652
1688,-823
1689,-685
1690,-295
1691,205
1692,623
1693,783
1694,635
1695,227
1696,-278
1697,-697
1698,-853
1699,-711
1700,-300
1701,226
1702,643
1703,807
1704,653
1705,224
1706,-294
1707,-732
1708,-893
1709,-719
1710,-297
1711,239
1712,678
1713,833
1714,653
1715,223
1716,-316
1717,-751
1718,-904
1719,-726
1720,-274
1721,262
1722,695
1723,841
1724,658
1725,213
1726,-335
1727,-763
1728,-912
1729,-728
1730,-270
1731,273
1732,702
1733,846
1734,654
1735,202
1736,-336
1737,-767
1738,-910
1739,-715
1740,-266
1741,283
1742,704
1743,838
1744,655
1745,200
1746,-339
1747,-762
1748,-904
1749,-713
1750,-265
1751,272
1752,691
1753,833
1754,635
1755,197
1756,-342
1757,-752
1758,-892
1759,-692
1760,-252
1761,268
1762,680
1763,815
1764,623
1765,186
1766,-332
1767,-729
1768,-858
1769,-678
1770,-242
1771,261
1772,649
1773,789
1774,604
1775,185
1776,-316
1777,-707
1778,-831
1779,-650
1780,-235
1781,249
1782,623
1783,746
1784,571
1785,170
1786,-303
1787,-672
1788,-790
1789,-623
1790,-236
1791,234
1792,586
1793,708
1794,538
1795,160
1796,-285
1797,-633
1798,-745
1799,-579
1800,-218
1801,210
1802,539
1803,648
1804,499
1805,154
1806,-264
1807,-577
1808,-687
1809,-540
1810,-203
1811,193
1812,493
1813,591
1814,455
1815,132
1816,-238
1817,-522
1818,-619
1819,-494
1820,-183
1821,162
1822,437
1823,528
1824,398
1825,123
1826,-220
1827,-483
1828,-565
1829,-440
1830,-175
1831,141
1832,380
1833,470
1834,361
1835,107
1836,-192
1837,-421
1838,-499
1839,-399
1840,-160
1841,111
1842,322
1843,403
1844,308
1845,90
1846,-161
1847,-361
1848,-427
1849,-353
1850,-152
1851,81
1852,262
1853,332
1854,261
1855,85
1856,-124
1857,-291
1858,-364
1859,-296
1860,-146
1861,56
1862,193
1863,259
1864,202
1865,71
1866,-88
1867,-227
1868,-278
1869,-244
1870,-123
1871,24
1872,134
1873,184
1874,147
1875,49
1876,-70
1877,-163
1878,-209
1879,-179
1880,-99
1881,-5
1882,76
1883,105
1884,92
1885,25
1886,-43
1887,-111
1888,-129
1889,-124
1890,-91
1891,-29
1892,21
1893,35
1894,32
1895,15
1896,-23
1897,-52
1898,-62
1899,-63
1900,-59
1901,-48
1902,-36
1903,-30
1904,-22
1905,3
1906,0
1907,1
1908,3
1909,-20
1910,-49
1911,-69
1912,-97
1913,-91
1914,-64
1915,-25
1916,18
1917,48
1918,48
1919,24
1920,-29
1921,-95
1922,-134
1923,-137
1924,-108
1925,-36
1926,40
1927,90
1928,102
1929,67
1930,-17
1931,-113
1932,-173
1933,-194
1934,-142
1935,-48
1936,50
1937,119
1938,137
1939,91
1940,-5
1941,-127
1942,-212
1943,-224
1944,-176
1945,-56
1946,69
1947,164
1948,182
1949,126
1950,-1
1951,-139
1952,-240
1953,-261
1954,-199
1955,-68
1956,77
1957,187
1958,209
1959,146
1960,11
1961,-147
1962,-264
1963,-284
1964,-222
1965,-67
1966,90
1967,202
1968,234
1969,158
1970,19
1971,-154
1972,-266
1973,-296
1974,-227
1975,-66
1976,93
1977,212
1978,243
1979,167
1980,20
1981,-153
1982,-276
1983,-304
1984,-235
1985,-77
1986,95
1987,212
1988,244
1989,167
1990,20
1991,-153
1992,-275
1993,-304
1994,-235
1995,-77
1996,95
1997,211
1998,245
1999,157
2000,19
2001,-154
2002,-267
2003,-291
2004,-219
2005,-69
2006,80
2007,193
2008,212
2009,151
2010,14
2011,-139
2012,-246
2013,-273
2014,-203
2015,-77
2016,72
2017,173
2018,197
2019,129
2020,6
2021,-131
2022,-226
2023,-255
2024,-181
2025,-70
2026,63
2027,149
2028,171
2029,108
2030,-1
2031,-116
2032,-198
2033,-210
2034,-161
2035,-59
2036,47
2037,117
2038,123
2039,87
2040,-11
2041,-100
2042,-164
2043,-171
2044,-123
2045,-58
2046,28
2047,77
